"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","    75380000","-112,8","   5,3","-125,3","-107,1","20",
"2020-12-05  17:20:00,000","    75385000","-111,9","   3,1","-118,1","-105,2","20",
"2020-12-05  17:20:00,000","    75390000","-113,4","   5,1","-123,6","-104,5","20",
"2020-12-05  17:20:00,000","    75395000","-113,9","   5,7","-129,7","-105,2","20",
"2020-12-05  17:20:00,000","    75400000","-112,6","   4,8","-126,0","-103,8","20",
"2020-12-05  17:20:00,000","    75405000","-113,5","   5,3","-125,4","-103,0","20",
"2020-12-05  17:20:00,000","    75410000","-115,2","   7,0","-127,1","-104,9","20",
"2020-12-05  17:20:00,000","    75415000","-113,6","   4,4","-122,7","-106,1","20",
"2020-12-05  17:20:00,000","    75420000","-114,6","   5,2","-126,1","-106,6","20",
"2020-12-05  17:20:00,000","    75425000","-115,7","   7,1","-135,7","-106,6","20",
"2020-12-05  17:20:00,000","    75430000","-114,6","   6,3","-126,4","-106,6","20",
"2020-12-05  17:20:00,000","    75435000","-114,2","   5,8","-125,5","-106,5","20",
"2020-12-05  17:20:00,000","    75440000","-113,4","   4,2","-123,5","-107,5","20",
"2020-12-05  17:20:00,000","    75445000","-113,7","   4,4","-126,6","-106,7","20",
"2020-12-05  17:20:00,000","    75450000","-114,9","   6,2","-126,8","-106,3","20",
"2020-12-05  17:20:00,000","    75455000","-112,6","   5,2","-123,4","-105,6","20",
"2020-12-05  17:20:00,000","    75460000","-113,3","   4,7","-123,9","-106,7","20",
"2020-12-05  17:20:00,000","    75465000","-115,9","   6,5","-133,3","-107,3","20",
"2020-12-05  17:20:00,000","    75470000","-116,6","   6,0","-128,3","-106,6","20",
