"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:27:00,000","    66000000"," -90,0","   5,4","-108,0"," -82,6","33",
"17/12/2020  14:27:00,000","    67000000"," -90,3","   5,2","-100,8"," -78,3","33",
"17/12/2020  14:27:00,000","    68000000"," -91,9","   7,3","-110,1"," -76,5","33",
"17/12/2020  14:27:00,000","    69000000"," -91,3","   6,9","-103,8"," -76,4","33",
"17/12/2020  14:27:00,000","    70000000"," -92,0","   7,1","-105,7"," -78,0","33",
"17/12/2020  14:27:00,000","    71000000"," -90,1","   4,7","-102,4"," -79,9","33",
"17/12/2020  14:27:00,000","    72000000"," -90,3","   5,4","-100,0"," -82,0","33",
"17/12/2020  14:27:00,000","    73000000"," -94,6","   7,5","-116,4"," -82,5","33",
"17/12/2020  14:27:00,000","    74000000"," -93,8","   7,7","-126,1"," -84,3","33",
"17/12/2020  14:27:00,000","    75000000"," -93,5","   6,2","-108,7"," -83,7","33",
"17/12/2020  14:27:00,000","    76000000"," -94,8","   6,6","-110,1"," -82,7","33",
"17/12/2020  14:27:00,000","    77000000"," -94,2","   6,1","-106,1"," -82,4","33",
"17/12/2020  14:27:00,000","    78000000"," -93,6","   5,4","-108,5"," -83,0","33",
"17/12/2020  14:27:00,000","    79000000"," -92,0","   4,8","-104,1"," -84,5","33",
"17/12/2020  14:27:00,000","    80000000"," -91,2","   4,7","-102,8"," -83,8","33",
"17/12/2020  14:27:00,000","    81000000"," -91,2","   6,1","-107,1"," -82,6","33",
"17/12/2020  14:27:00,000","    82000000"," -91,1","   5,1","-104,9"," -82,4","33",
"17/12/2020  14:27:00,000","    83000000"," -91,5","   5,7","-110,9"," -81,0","33",
"17/12/2020  14:27:00,000","    84000000"," -91,4","   5,0","-105,2"," -82,2","33",
"17/12/2020  14:27:00,000","    85000000"," -92,3","   6,0","-109,3"," -81,1","33",
"17/12/2020  14:27:00,000","    86000000"," -92,0","   4,9","-100,6"," -84,0","33",
"17/12/2020  14:27:00,000","    87000000"," -82,9","   2,7"," -94,1"," -78,7","33",
"17/12/2020  14:27:00,000","    88000000"," -76,7","   2,5"," -84,2"," -72,7","33",
"17/12/2020  14:28:00,000","    54000000"," -92,8","   5,6","-106,5"," -82,0","34",
"17/12/2020  14:28:00,000","    55000000"," -92,8","   5,8","-108,5"," -81,3","34",
"17/12/2020  14:28:00,000","    56000000"," -92,2","   6,2","-111,8"," -83,5","34",
"17/12/2020  14:28:00,000","    57000000"," -91,4","   5,7","-105,8"," -82,1","34",
"17/12/2020  14:28:00,000","    58000000"," -90,9","   4,8","-103,9"," -80,3","34",
"17/12/2020  14:28:00,000","    59000000"," -93,0","   7,5","-112,8"," -79,9","34",
"17/12/2020  14:28:00,000","    60000000"," -92,3","   6,6","-108,3"," -80,1","34",
"17/12/2020  14:28:00,000","    61000000"," -92,0","   6,3","-111,2"," -80,9","34",
"17/12/2020  14:28:00,000","    62000000"," -91,4","   5,4","-102,3"," -82,2","34",
"17/12/2020  14:28:00,000","    63000000"," -90,7","   5,4","-101,5"," -80,8","34",
"17/12/2020  14:28:00,000","    64000000"," -91,4","   6,2","-106,1"," -80,0","34",
"17/12/2020  14:28:00,000","    65000000"," -90,7","   5,1","-104,8"," -79,2","34",
"17/12/2020  14:28:00,000","    66000000"," -90,3","   5,5","-106,3"," -77,7","34",
"17/12/2020  14:28:00,000","    67000000"," -89,9","   5,1","-100,3"," -76,6","34",
"17/12/2020  14:28:00,000","    68000000"," -89,6","   6,1","-105,8"," -76,9","34",
"17/12/2020  14:28:00,000","    69000000"," -89,2","   5,9","-104,2"," -77,6","34",
"17/12/2020  14:28:00,000","    70000000"," -90,2","   5,7","-105,9"," -78,2","34",
"17/12/2020  14:28:00,000","    71000000"," -92,3","   6,5","-112,8"," -80,5","34",
"17/12/2020  14:28:00,000","    72000000"," -92,8","   6,3","-109,6"," -80,6","34",
"17/12/2020  14:28:00,000","    73000000"," -94,1","   6,8","-108,7"," -80,6","34",
"17/12/2020  14:28:00,000","    74000000"," -93,0","   6,7","-108,2"," -80,1","34",
"17/12/2020  14:28:00,000","    75000000"," -92,3","   6,3","-106,7"," -80,1","34",
"17/12/2020  14:28:00,000","    76000000"," -91,8","   5,4","-107,2"," -82,2","34",
"17/12/2020  14:28:00,000","    77000000"," -91,1","   4,0","-100,8"," -84,5","34",
"17/12/2020  14:28:00,000","    78000000"," -91,7","   4,1","-103,5"," -85,2","34",
"17/12/2020  14:28:00,000","    79000000"," -93,0","   4,7","-106,3"," -86,3","34",
"17/12/2020  14:28:00,000","    80000000"," -92,3","   5,1","-107,7"," -84,3","34",
"17/12/2020  14:28:00,000","    81000000"," -91,5","   5,0","-108,5"," -83,4","34",
"17/12/2020  14:28:00,000","    82000000"," -91,7","   5,5","-106,4"," -83,0","34",
"17/12/2020  14:28:00,000","    83000000"," -91,1","   5,3","-103,1"," -82,0","34",
"17/12/2020  14:28:00,000","    84000000"," -91,0","   5,2","-101,3"," -81,2","34",
"17/12/2020  14:28:00,000","    85000000"," -91,6","   6,2","-112,7"," -82,0","34",
"17/12/2020  14:28:00,000","    86000000"," -90,1","   4,7","-101,2"," -79,7","34",
"17/12/2020  14:28:00,000","    87000000"," -83,6","   5,2","-104,0"," -76,7","34",
"17/12/2020  14:28:00,000","    88000000"," -76,8","   3,6"," -89,4"," -71,1","34",
"17/12/2020  14:29:00,000","    54000000"," -92,1","   5,0","-106,6"," -83,8","34",
